location,cc,adm1,code,region,group,kenrick2004,cva2,consp,ips,daf,dafcode,delage,mees,bib,notes,gns,lng,lat,
Berne,CH,Bern,EGTS,"East Gaulish","Helvetische Ware",,,,26,275,,delage,"Helvetische Ware",,"mees: Berne-Enge, daf: Berne-Enge kilns and wasters",Berne/CH/Bern,7.46667,46.9167,
Bezares,ES,Logroño,SPTS,Spanish,"Najerilla valley group",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,Bezares/ES/Logroño,-2.66667,42.3667,
Blickweiler,DE,Saarland,EGTS,"East Gaulish","Ateliers de la Moselle",,,,27,261,,delage,,,,Blickweiler/DE/Saarland,7.25,49.2167,
Bliesbruck,FR,Lorraine,EGTS,"East Gaulish","Ateliers de la Moselle",,,,28,,,,,,,Bliesbruck/FR/Lorraine,7.18333,49.116677,
Bobadilla,ES,Logroño,SPTS,Spanish,"Najerilla valley group",,,,,,,,,"Fernandez Fonesca PIA 6 1995",,Bobadilla/ES/Logroño,-2.75,42.3167,
Boucheporn,FR,57/Moselle,EGTS,"East Gaulish","Ateliers de la Moselle",,,,29,210,Bo,delage,,,,Boucheporn/FR/57/Moselle,6.6,49.15,
Bourbon­-Lancy,FR,,,,,,,,,,,delage,,,,,,,
Bourgheim,FR,67/Bas-Rhin,EGTS,"East Gaulish","Ateliers Alsaciens secondaires",,,,,234,,,,,,Bourgheim/FR/67/Bas-Rhin,7.48333,48.4167,
Bram,FR,11/Aude,SGTS,"South Gaulish","Groupe de Bram",,,p20,10,48,Bm,delage,,,Italian-type,Bram/FR/11/Aude,2.11667,43.25,
Bregenz,AT,,,,,,,,,262,,,,,"daf: Découvertes des moules",,,,
Brive,FR,,,,,,,,,90,Bv,,,,"not a production site",,,,
